,sid,month,total,calm,percent
353,PAMC,6,23529,4449,18.9
354,PAMC,7,24437,5417,22.2
355,PAMC,8,24836,6186,24.9
356,PAMC,9,24166,6142,25.4
357,PAMC,10,25368,6922,27.3
358,PAMC,11,24163,10668,44.2
359,PAMC,12,24599,13142,53.400000000000006
360,PANN,1,22632,5939,26.200000000000003
361,PANN,2,20674,4818,23.3
362,PANN,3,22910,3969,17.299999999999997
363,PANN,4,21032,3289,15.6
364,PANN,5,23028,3418,14.799999999999999
365,PANN,6,21436,3683,17.2
366,PANN,7,22880,4563,19.900000000000002
367,PANN,8,23099,5040,21.8
368,PANN,9,22240,4372,19.7
369,PANN,10,23243,4559,19.6
370,PANN,11,21933,5243,23.9
371,PANN,12,21818,5639,25.8
372,PATA,1,19106,5066,26.5
373,PATA,2,17450,3679,21.099999999999998
374,PATA,3,19551,3821,19.5
375,PATA,4,18768,3414,18.2
376,PATA,5,19019,3130,16.5
377,PATA,6,18030,2956,16.400000000000002
378,PATA,7,18909,3263,17.299999999999997
379,PATA,8,19354,3956,20.4
380,PATA,9,18814,3524,18.7
381,PATA,10,19557,3982,20.4
382,PATA,11,18659,5148,27.6
383,PATA,12,19371,5377,27.800000000000004
384,PATC,1,16900,702,4.2
385,PATC,2,15042,461,3.1
386,PATC,3,15790,694,4.3999999999999995
387,PATC,4,16203,526,3.2
388,PATC,5,17348,864,5.0
389,PATC,6,16739,826,4.9
390,PATC,7,17196,1084,6.3
391,PATC,8,17834,909,5.1
392,PATC,9,16270,793,4.9
393,PATC,10,16727,856,5.1
394,PATC,11,15685,727,4.6
395,PATC,12,17539,711,4.1000000000000005
396,PAYA,1,25108,6669,26.6
397,PAYA,2,22855,6393,28.000000000000004
398,PAYA,3,24895,5883,23.599999999999998
399,PAYA,4,23938,5915,24.7
400,PAYA,5,24198,5258,21.7
401,PAYA,6,22811,5013,22.0
402,PAYA,7,24092,5941,24.7
403,PAYA,8,24532,6781,27.6
404,PAYA,9,24125,5926,24.6
405,PAYA,10,25119,6142,24.5
406,PAYA,11,24253,6684,27.6
407,PAYA,12,25095,6915,27.6
408,PABA,1,17942,988,5.5
409,PABA,2,16884,1141,6.800000000000001
410,PABA,3,19080,1238,6.5
411,PABA,4,19186,1530,8.0
412,PABA,5,19777,1038,5.2
413,PABA,6,19370,646,3.3000000000000003
414,PABA,7,19252,610,3.2
415,PABA,8,19604,834,4.3
416,PABA,9,20212,884,4.3999999999999995
417,PABA,10,19566,764,3.9
418,PABA,11,18793,880,4.7
419,PABA,12,19406,1120,5.800000000000001
420,PAMX,1,5414,3969,73.3
421,PAMX,2,5366,3402,63.4
422,PAMX,3,7208,3203,44.4
423,PAMX,4,7176,2621,36.5
424,PAMX,5,7783,2385,30.599999999999998
425,PAMX,6,7405,2791,37.7
426,PAMX,7,7402,3489,47.099999999999994
427,PAMX,8,7444,4142,55.60000000000001
428,PAMX,9,7058,4050,57.4
429,PAMX,10,7048,4363,61.9
430,PAMX,11,6177,3864,62.6
431,PAMX,12,5971,4420,74.0
432,PANC,1,24966,3862,15.5
433,PANC,2,22782,3580,15.7
434,PANC,3,25023,3255,13.0
435,PANC,4,24399,2668,10.9
436,PANC,5,25047,1827,7.3
437,PANC,6,24173,1789,7.3999999999999995
438,PANC,7,25034,2507,10.0
439,PANC,8,24921,3069,12.3
440,PANC,9,24145,3273,13.600000000000001
441,PANC,10,25127,3853,15.299999999999999
442,PANC,11,24128,3739,15.5
443,PANC,12,25003,4244,17.0
444,PANT,1,21451,3109,14.499999999999998
445,PANT,2,19462,3028,15.6
446,PANT,3,21252,2607,12.3
447,PANT,4,20563,2695,13.100000000000001
448,PANT,5,20953,2706,12.9
449,PANT,6,20081,2535,12.6
450,PANT,7,20950,3059,14.6
451,PANT,8,21059,3554,16.900000000000002
452,PANT,9,20850,3469,16.6
453,PANT,10,21527,3451,16.0
454,PANT,11,20805,2820,13.600000000000001
455,PANT,12,21463,3242,15.1
456,PATL,1,17193,6820,39.7
457,PATL,2,15010,4829,32.2
458,PATL,3,17105,4125,24.099999999999998
459,PATL,4,16701,4101,24.6
460,PATL,5,17922,4351,24.3
461,PATL,6,17733,4818,27.200000000000003
462,PATL,7,17415,4780,27.400000000000002
463,PATL,8,17773,5942,33.4
464,PATL,9,16296,5028,30.9
465,PATL,10,17068,6010,35.199999999999996
466,PATL,11,16210,6128,37.8
467,PATL,12,15710,6547,41.699999999999996
468,PAVD,1,16815,9143,54.400000000000006
469,PAVD,2,15543,8496,54.7
470,PAVD,3,17362,8216,47.3
471,PAVD,4,16947,8974,53.0
472,PAVD,5,17999,6939,38.6
473,PAVD,6,17946,6126,34.1
474,PAVD,7,18539,7542,40.699999999999996
475,PAVD,8,18277,9085,49.7
476,PAVD,9,17682,10123,57.3
477,PAVD,10,17424,9417,54.0
478,PAVD,11,16828,8491,50.5
479,PAVD,12,17420,9553,54.800000000000004
480,PABT,1,23813,6185,26.0
481,PABT,2,22195,4433,20.0
482,PABT,3,24287,3720,15.299999999999999
483,PABT,4,23545,2904,12.3
484,PABT,5,24082,3301,13.700000000000001
485,PABT,6,22945,4253,18.5
486,PABT,7,24288,4693,19.3
487,PABT,8,24495,5529,22.6
488,PABT,9,24014,5009,20.9
489,PABT,10,24944,4767,19.1
490,PABT,11,23411,5297,22.6
491,PABT,12,24180,5961,24.7
492,PAMH,1,15051,10184,67.7
493,PAMH,2,15182,10469,69.0
494,PAMH,3,16988,8946,52.7
495,PAMH,4,16815,8183,48.699999999999996
496,PAMH,5,17364,7530,43.4
497,PAMH,6,16433,7943,48.3
498,PAMH,7,16018,8069,50.4
499,PAMH,8,17166,10145,59.099999999999994
500,PAMH,9,16445,9918,60.3
501,PAMH,10,16742,10232,61.1
502,PAMH,11,16382,11199,68.4
503,PAMH,12,17212,12444,72.3
504,PAOR,1,21721,15052,69.3
505,PAOR,2,20525,12394,60.4
506,PAOR,3,22892,9853,43.0
507,PAOR,4,22230,6362,28.599999999999998
508,PAOR,5,22114,4617,20.9
509,PAOR,6,20606,4298,20.9
510,PAOR,7,21853,5554,25.4
511,PAOR,8,21965,6667,30.4
512,PAOR,9,22411,7455,33.300000000000004
513,PAOR,10,23500,9787,41.6
514,PAOR,11,22047,13816,62.7
515,PAOR,12,22383,15884,71.0
516,PATK,1,21048,5271,25.0
517,PATK,2,18869,4756,25.2
518,PATK,3,21348,4891,22.900000000000002
519,PATK,4,20531,5743,28.000000000000004
520,PATK,5,20977,5856,27.900000000000002
521,PATK,6,20192,5108,25.3
522,PATK,7,21315,6367,29.9
523,PATK,8,21312,8065,37.8
524,PATK,9,20468,7511,36.7
525,PATK,10,20680,6946,33.6
526,PATK,11,20184,5610,27.800000000000004
527,PATK,12,20806,5767,27.700000000000003
528,PAWG,1,20297,2911,14.299999999999999
529,PAWG,2,18533,2536,13.700000000000001
530,PAWG,3,20747,2392,11.5
531,PAWG,4,20162,2337,11.600000000000001
532,PAWG,5,20832,3119,15.0
533,PAWG,6,19447,3899,20.0
534,PAWG,7,20351,6077,29.9
535,PAWG,8,20517,6094,29.7
536,PAWG,9,20012,4469,22.3
537,PAWG,10,20398,3085,15.1
538,PAWG,11,19865,2428,12.2
539,PAWG,12,20214,2331,11.5
540,PABE,1,25598,386,1.5
541,PABE,2,23291,417,1.7999999999999998
542,PABE,3,25620,379,1.5
543,PABE,4,24869,424,1.7000000000000002
544,PABE,5,25570,479,1.9
545,PABE,6,24558,570,2.3
546,PABE,7,25422,647,2.5
547,PABE,8,25585,780,3.0
548,PABE,9,24795,656,2.6
549,PABE,10,25595,583,2.3
550,PABE,11,24727,776,3.1
551,PABE,12,25666,612,2.4
552,PABR,1,25770,719,2.8000000000000003
553,PABR,2,23365,535,2.3
554,PABR,3,25593,518,2.0
555,PABR,4,24931,413,1.7000000000000002
556,PABR,5,25815,306,1.2
557,PABR,6,24938,286,1.0999999999999999
558,PABR,7,25762,299,1.2
559,PABR,8,25758,442,1.7000000000000002
560,PABR,9,24985,450,1.7999999999999998
561,PABR,10,25701,465,1.7999999999999998
562,PABR,11,24851,578,2.3
563,PABR,12,25834,604,2.3
564,PACV,1,24063,10658,44.3
565,PACV,2,22126,9239,41.8
566,PACV,3,24183,8246,34.1
567,PACV,4,23583,7417,31.5
568,PACV,5,23923,8048,33.6
569,PACV,6,22828,8086,35.4
570,PACV,7,23993,9847,41.0
571,PACV,8,24448,10139,41.5
572,PACV,9,23589,8404,35.6
573,PACV,10,24380,9020,37.0
574,PACV,11,23171,10255,44.3
575,PACV,12,23979,10088,42.1
576,PAUN,1,21629,2037,9.4
577,PAUN,2,20852,1355,6.5
578,PAUN,3,23558,1908,8.1
579,PAUN,4,21508,1543,7.199999999999999
580,PAUN,5,22450,1552,6.9
581,PAUN,6,21571,1439,6.7
582,PAUN,7,22494,1211,5.4
583,PAUN,8,22526,1234,5.5
584,PAUN,9,21681,1282,5.8999999999999995
585,PAUN,10,21833,1572,7.199999999999999
586,PAUN,11,21271,1048,4.9
587,PAUN,12,22033,1531,6.9
588,PAWD,1,17914,2048,11.4
589,PAWD,2,16087,2396,14.899999999999999
590,PAWD,3,18249,1941,10.6
591,PAWD,4,18621,2231,12.0
592,PAWD,5,18678,2331,12.5
593,PAWD,6,17808,2774,15.6
594,PAWD,7,18605,3797,20.4
595,PAWD,8,18649,3705,19.900000000000002
596,PAWD,9,18028,3277,18.2
597,PAWD,10,19006,2653,14.000000000000002
598,PAWD,11,18068,2065,11.4
599,PAWD,12,18763,2215,11.799999999999999
600,PADT,1,8780,1896,21.6
601,PADT,2,7818,1361,17.4
602,PADT,3,9512,889,9.3
603,PADT,4,9022,425,4.7
604,PADT,5,9232,348,3.8
605,PADT,6,9045,246,2.7
606,PADT,7,8526,453,5.3
607,PADT,8,8619,589,6.800000000000001
608,PADT,9,8579,665,7.8
609,PADT,10,8962,964,10.8
610,PADT,11,7074,1335,18.9
611,PADT,12,7497,1362,18.2
612,PADU,1,17294,1891,10.9
613,PADU,2,15674,1455,9.3
614,PADU,3,17138,1340,7.8
615,PADU,4,17126,1243,7.3
616,PADU,5,17925,1634,9.1
617,PADU,6,17660,2023,11.5
618,PADU,7,18322,2981,16.3
619,PADU,8,18131,2881,15.9
620,PADU,9,17486,1795,10.299999999999999
621,PADU,10,18000,1623,9.0
622,PADU,11,17153,1481,8.6
623,PADU,12,17459,2080,11.899999999999999
624,PAGY,1,16798,3574,21.3
625,PAGY,2,15593,3544,22.7
626,PAGY,3,16495,3541,21.5
627,PAGY,4,16267,4427,27.200000000000003
628,PAGY,5,16599,3997,24.099999999999998
629,PAGY,6,16660,3729,22.400000000000002
630,PAGY,7,17340,4798,27.700000000000003
631,PAGY,8,17081,5813,34.0
632,PAGY,9,16878,6137,36.4
633,PAGY,10,17186,5813,33.800000000000004
634,PAGY,11,15820,4216,26.6
635,PAGY,12,17314,4135,23.9
636,PAOT,1,25293,2364,9.3
637,PAOT,2,23144,2133,9.2
638,PAOT,3,25442,2439,9.6
639,PAOT,4,24867,1737,7.000000000000001
640,PAOT,5,25681,1320,5.1
641,PAOT,6,24866,1013,4.1000000000000005
642,PAOT,7,25707,633,2.5
643,PAOT,8,25748,631,2.5
644,PAOT,9,24941,625,2.5
645,PAOT,10,25627,672,2.6
646,PAOT,11,24644,1152,4.7
647,PAOT,12,25542,1907,7.5
648,PAPG,1,17984,7069,39.300000000000004
649,PAPG,2,16059,5957,37.1
650,PAPG,3,17720,5267,29.7
651,PAPG,4,17513,4409,25.2
652,PAPG,5,18121,4476,24.7
653,PAPG,6,17787,4982,28.000000000000004
654,PAPG,7,18381,6509,35.4
655,PAPG,8,18676,7362,39.4
656,PAPG,9,17905,7225,40.400000000000006
657,PAPG,10,18530,6881,37.1
658,PAPG,11,17985,6805,37.8
659,PAPG,12,18339,6871,37.5
660,PARY,1,21014,8901,42.4
661,PARY,2,19796,6841,34.599999999999994
662,PARY,3,21497,6812,31.7
663,PARY,4,20723,5119,24.7
664,PARY,5,21511,4932,22.900000000000002
665,PARY,6,21759,5436,25.0
666,PARY,7,22330,5896,26.400000000000002
667,PARY,8,22706,6088,26.8
668,PARY,9,22022,5552,25.2
669,PARY,10,23487,6685,28.499999999999996
670,PARY,11,22066,8204,37.2
671,PARY,12,22044,9348,42.4
672,PAED,1,23822,4698,19.7
673,PAED,2,21562,4364,20.200000000000003
674,PAED,3,23950,4457,18.6
675,PAED,4,23149,4218,18.2
676,PAED,5,24051,3466,14.399999999999999
677,PAED,6,23201,3219,13.900000000000002
678,PAED,7,24353,4011,16.5
679,PAED,8,23955,5018,20.9
680,PAED,9,23139,4990,21.6
681,PAED,10,23728,5411,22.8
682,PAED,11,22972,4833,21.0
683,PAED,12,23694,4991,21.099999999999998
684,PAKN,1,25589,1847,7.199999999999999
685,PAKN,2,23276,1398,6.0
686,PAKN,3,25608,1573,6.1
687,PAKN,4,24696,1249,5.1
688,PAKN,5,25249,1371,5.4
689,PAKN,6,24302,1397,5.7
690,PAKN,7,25128,1549,6.2
691,PAKN,8,25497,1826,7.199999999999999
692,PAKN,9,24698,1685,6.800000000000001
693,PAKN,10,25601,1736,6.800000000000001
694,PAKN,11,24695,1752,7.1
695,PAKN,12,25621,2379,9.3
696,PAPR,1,20622,4955,24.0
697,PAPR,2,19296,3762,19.5
698,PAPR,3,20313,2983,14.7
699,PAPR,4,19593,2317,11.799999999999999
700,PAPR,5,20152,2529,12.5
701,PAPR,6,19391,3149,16.2
702,PAPR,7,20350,3381,16.6
703,PAPR,8,20497,3959,19.3
704,PAPR,9,19964,3547,17.8
705,PAPR,10,20696,3487,16.8
706,PAPR,11,19647,4308,21.9
707,PAPR,12,20234,4828,23.9
708,PASH,1,17037,649,3.8
709,PASH,2,15101,881,5.800000000000001
710,PASH,3,17984,769,4.3
