,sid,year,month,speed
836,PAFB,2014,12,2.3
837,PAFB,2015,1,0.5
838,PAIL,1980,1,10.6
839,PAIL,1980,2,9.8
840,PAIL,1980,3,9.4
841,PAIL,1981,7,8.5
842,PAIL,1981,8,9.0
843,PAIL,1981,9,7.9
844,PAIL,1981,10,10.6
845,PAIL,1981,11,10.0
846,PAIL,1981,12,9.3
847,PAIL,1982,1,10.3
848,PAIL,1982,2,9.8
849,PAIL,1982,3,9.9
850,PAIL,1982,4,9.5
851,PAIL,1982,5,8.8
852,PAIL,1982,6,10.5
853,PAIL,1982,7,8.4
854,PAIL,1982,8,7.3
855,PAIL,1982,9,10.3
856,PAIL,1982,10,11.5
857,PAIL,1982,11,10.9
858,PAIL,1982,12,11.5
859,PAIL,1983,1,10.4
860,PAIL,1983,2,8.3
861,PAIL,1983,3,7.6
862,PAIL,1983,4,9.2
863,PAIL,1983,5,9.7
864,PAIL,1983,6,9.2
865,PAIL,1983,7,8.8
866,PAIL,1983,8,8.3
867,PAIL,1983,9,10.2
868,PAIL,1983,10,9.7
869,PAIL,1983,11,11.6
870,PAIL,1983,12,11.0
